@{Version=4.11.2; Updated=20/12/2025 5:08:57 PM; Name=text-grab; Info=; Source=extras}
@{Version=0.26.3; Updated=15/12/2025 7:45:33 PM; Name=tree-sitter; Info=; Source=main}
@{Version=0.103.0; Updated=8/12/2025 10:08:45 AM; Name=vcredist-aio; Info=; Source=extras}
@{Version=1.1.10; Updated=22/12/2025 1:02:02 PM; Name=ventoy; Info=; Source=extras}
@{Version=1.6.1; Updated=17/12/2025 5:23:18 PM; Name=viu; Info=; Source=hoilc_scoop-lemon}
@{Version=0.2.10; Updated=6/10/2025 1:04:00 PM; Name=whkd; Info=; Source=extras}
@{Version=1.63.0.0; Updated=8/12/2025 11:55:57 AM; Name=winaero-tweaker; Info=Held package; Source=extras}
@{Version=2.2.2; Updated=31/07/2025 12:18:11 AM; Name=windirstat; Info=; Source=extras}
@{Version=2.1.25156; Updated=8/06/2025 1:34:42 PM; Name=winfsp-np; Info=; Source=nonportable}
@{Version=4.28; Updated=8/12/2025 11:56:51 AM; Name=WizTree; Info=; Source=extras}
@{Version=1.11; Updated=3/12/2024 8:43:34 PM; Name=xnresize; Info=; Source=extras}
@{Version=1.22.22; Updated=21/10/2025 9:06:27 AM; Name=yarn; Info=; Source=main}
@{Version=2025.12.08; Updated=8/12/2025 11:57:50 AM; Name=yt-dlp; Info=; Source=main}
@{Version=0.217.3; Updated=19/12/2025 2:23:12 PM; Name=zed; Info=; Source=extras}
@{Version=0.9.8; Updated=3/06/2025 1:28:46 PM; Name=zoxide; Info=; Source=main}
